"activity","subjectid","avgmean","avgsdev"
"LAYING",19,-0.635652491362591,0.5395976409776
"LAYING",21,-0.636215143973697,0.539847866726156
"LAYING",22,-0.625681495804478,0.54129943636336
"LAYING",23,-0.630745633383793,0.540095886803718
"LAYING",25,-0.630981588566044,0.539489795041482
"LAYING",26,-0.643413658881904,0.535327573626504
"SITTING",11,-0.636526936838678,0.533815993881231
"SITTING",14,-0.640404110478205,0.534050188808156
"SITTING",15,-0.639333335240933,0.535497799819163
"SITTING",16,-0.637972880242954,0.535979524082463
"SITTING",17,-0.639478284822479,0.534948500254519
"SITTING",19,-0.635368366942744,0.529915620597223
"STANDING",1,-0.641659163591197,0.534780780467509
"STANDING",3,-0.632071105269679,0.52916042104847
"STANDING",5,-0.63530243736283,0.529515990532087
"STANDING",6,-0.637689821624316,0.530833945453065
"STANDING",7,-0.633938982579065,0.529743937784642
"STANDING",8,-0.639241742707308,0.532565574317701
"STANDING",11,-0.635210609370053,0.527091449856378
"WALKING",26,-0.346971562485137,0.4633634752892
"WALKING",27,-0.358586000484639,0.465994045898602
"WALKING",28,-0.369326942214182,0.466837559120406
"WALKING",29,-0.354703562412897,0.46363016706863
"WALKING",30,-0.375182168039667,0.469416268586564
"WALKING_DOWNSTAIRS",2,-0.277372336966234,0.470689814385498
"WALKING_DOWNSTAIRS",4,-0.302050345683073,0.474045974198032
"WALKING_DOWNSTAIRS",9,-0.307778832056647,0.472211981052726
"WALKING_DOWNSTAIRS",10,-0.31726446273108,0.473080588989739
"WALKING_DOWNSTAIRS",12,-0.315822884925211,0.475568660220803
"WALKING_DOWNSTAIRS",30,-0.361496693566156,0.466388815650661
"WALKING_UPSTAIRS",12,-0.369173079893831,0.474150441090938
"WALKING_UPSTAIRS",13,-0.392427877047075,0.477238936014161
"WALKING_UPSTAIRS",18,-0.402931274817689,0.478649123999705
"WALKING_UPSTAIRS",20,-0.398201044372645,0.481283887886268
"WALKING_UPSTAIRS",24,-0.394324978458646,0.482262957758578
